name,address,city,state,zipcode,ethash
INFINITI PALM SPRINGS,67615 E PALM CANYON DR,CATHEDRAL CITY,CA,92234,A922345454BD3B283EFEBF8B7637AEE2AE18343EAE8D2CECC30000
CROSSROADS INFINITI OF APEX,1900 LAURA DUNCAN ROAD,APEX,NC,27523,A27523642154EAEB67E5CA978C68F215704289EE03A9C6843E0000
INFINITI OF LYNNWOOD,17305 HIGHWAY 99,LYNNWOOD,WA,98037,A980373143453B8CAB527718A0F8B458C7E5A9E95D750FD2FF0000
BREWBAKER INFINITI,222 EASTERN BLVD,MONTGOMERY,AL,36117,A36117201057A2D87DA377A9667577C644F1D9E0A194EC11B40000
GEORGE HARTE INFINITI,1076 SOUTH COLONY RD,WALLINGFORD,CT,06492,A06492525886DD893B3F93ECCD2C49467CF6B83740BF1F2F9F0000
INFINITI OF PALM BEACHES,3101 OKEECHOBEE BLVD,WEST PALM BEACH,FL,33409,A3340940349BFAE5E5C06539E7804C50AD17151AD8E469F9CF0000
INFINITI OF OMAHA,18201 BURT STREET,ELKHORN,NE,68022,A6802238219DE968A7A00054EE25700AAB80F39CC21A6A04650000
INFINITI OF SCOTTSDALE,7601 E FRANK LLOYD WRIGHT,SCOTTSDALE,AZ,85260,A85260100084887B287F191B6D28A5A4DACC57A13E8178C1B60000
BERMAN INFINITI OF NILES,5757 W TOUHY AVE,NILES,IL,60714,A607144603D0C6EF74110C7D994A91D3A4F2FDA3A545C2198B0000
INFINITI OF HONOLULU,2845 KILIHAU ST,HONOLULU,HI,96819,A96819202511FD26B4579AF89F83C0094B0701DE33305E8ED50000
INFINITI OF SYRACUSE,736 W GENESEE ST,SYRACUSE,NY,13204,A1320423217975A7B54976C1F6BA41414AA3018C7B6FD782000000
INFINITI OF BOERNE,32275 INTERSTATE HWY 10,BOERNE,TX,78006,A78006924054AC2E34980245E5A2EE8E90239345D67E9CCFA00000
RICKENBAUGH INFINITI,5900 GATEWAY COURT,DACONO,CO,80514,A80514955765BF140B0EEAB2AEF02E1517D98BA284D55785200000
FAULKNER INFINITI OF MECHANICSBURG,6720 CARLISLE PIKE,MECHANICSBURG,PA,17050,A17050171106EF0C8BDF5F43AEA6672CF21321FECA946CDC060000
SUBURBAN INFINITI OF TROY,1816 MAPLELAWN DR,TROY,MI,48084,A4808446168F72C66D7759F398AFBC468F1214E25BBE62F8B50000
